DATE,FGSDODNS
1945-10-01,254.385
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,231.306
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,224.898
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,220.012
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,223.629
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,223.234
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,223.506
1952-01-01,226.303
1952-04-01,227.523
1952-07-01,229.137
1952-10-01,229.829
1953-01-01,230.931
1953-04-01,232.382
1953-07-01,237.102
1953-10-01,237.379
1954-01-01,237.381
1954-04-01,238.068
1954-07-01,237.933
1954-10-01,240.195
1955-01-01,239.601
1955-04-01,239.587
1955-07-01,239.535
1955-10-01,240.077
1956-01-01,239.012
1956-04-01,235.303
1956-07-01,234.687
1956-10-01,235.039
1957-01-01,236.274
1957-04-01,232.121
1957-07-01,234.373
1957-10-01,233.24
1958-01-01,235.182
1958-04-01,239.506
1958-07-01,238.587
1958-10-01,243.374
1959-01-01,245.641
1959-04-01,247.894
1959-07-01,250.546
1959-10-01,251.18
1960-01-01,249.998
1960-04-01,249.677
1960-07-01,249.804
1960-10-01,250.072
1961-01-01,250.311
1961-04-01,252.356
1961-07-01,256.548
1961-10-01,258.176
1962-01-01,260.736
1962-04-01,262.629
1962-07-01,262.285
1962-10-01,266.044
1963-01-01,268.037
1963-04-01,270.284
1963-07-01,269.33
1963-10-01,271.008
1964-01-01,272.343
1964-04-01,273.916
1964-07-01,276.082
1964-10-01,278.309
1965-01-01,279.189
1965-04-01,279.373
1965-07-01,277.467
1965-10-01,281.252
1966-01-01,282.763
1966-04-01,282.469
1966-07-01,282.30
1966-10-01,286.101
1967-01-01,289.406
1967-04-01,285.886
1967-07-01,292.284
1967-10-01,300.362
1968-01-01,306.99
1968-04-01,308.055
1968-07-01,313.637
1968-10-01,314.219
1969-01-01,315.342
1969-04-01,307.375
1969-07-01,309.983
1969-10-01,312.583
1970-01-01,314.50
1970-04-01,317.154
1970-07-01,323.589
1970-10-01,327.027
1971-01-01,328.923
1971-04-01,339.263
1971-07-01,347.468
1971-10-01,354.745
1972-01-01,356.27
1972-04-01,358.194
1972-07-01,364.207
1972-10-01,372.75
1973-01-01,378.186
1973-04-01,379.668
1973-07-01,379.074
1973-10-01,381.829
1974-01-01,381.929
1974-04-01,385.635
1974-07-01,390.234
1974-10-01,396.457
1975-01-01,412.756
1975-04-01,440.62
1975-07-01,464.591
1975-10-01,485.926
1976-01-01,505.967
1976-04-01,528.227
1976-07-01,546.903
1976-10-01,559.712
1977-01-01,572.404
1977-04-01,580.529
1977-07-01,607.628
1977-10-01,622.606
1978-01-01,637.105
1978-04-01,650.943
1978-07-01,672.723
1978-10-01,682.118
1979-01-01,685.071
1979-04-01,693.719
1979-07-01,714.755
1979-10-01,725.909
1980-01-01,739.509
1980-04-01,767.36
1980-07-01,791.355
1980-10-01,812.184
1981-01-01,842.366
1981-04-01,860.707
1981-07-01,876.789
1981-10-01,907.658
1982-01-01,941.829
1982-04-01,967.057
1982-07-01,1024.123
1982-10-01,1081.029
1983-01-01,1146.269
1983-04-01,1207.253
1983-07-01,1258.653
1983-10-01,1280.78
1984-01-01,1344.109
1984-04-01,1389.644
1984-07-01,1450.932
1984-10-01,1496.457
1985-01-01,1567.286
1985-04-01,1628.224
1985-07-01,1688.195
1985-10-01,1762.014
1986-01-01,1811.367
1986-04-01,1885.675
1986-07-01,1949.671
1986-10-01,2007.547
1987-01-01,2044.222
1987-04-01,2101.468
1987-07-01,2132.373
1987-10-01,2181.714
1988-01-01,2231.681
1988-04-01,2277.616
1988-07-01,2324.952
1988-10-01,2369.615
1989-01-01,2417.116
1989-04-01,2454.316
1989-07-01,2500.028
1989-10-01,2550.522
1990-01-01,2618.661
1990-04-01,2681.731
1990-07-01,2753.929
1990-10-01,2830.77
1991-01-01,2889.145
1991-04-01,2961.398
1991-07-01,3062.723
1991-10-01,3147.363
1992-01-01,3238.034
1992-04-01,3328.872
1992-07-01,3423.745
1992-10-01,3491.131
1993-01-01,3550.017
1993-04-01,3641.16
1993-07-01,3709.639
1993-10-01,3784.333
1994-01-01,3809.948
1994-04-01,3879.588
1994-07-01,3930.823
1994-10-01,3977.825
1995-01-01,4014.76
1995-04-01,4117.882
1995-07-01,4149.242
1995-10-01,4151.993
1996-01-01,4215.265
1996-04-01,4279.858
1996-07-01,4327.646
1996-10-01,4343.083
1997-01-01,4369.736
1997-04-01,4395.842
1997-07-01,4415.85
1997-10-01,4406.492
1998-01-01,4407.67
1998-04-01,4435.299
1998-07-01,4405.501
1998-10-01,4395.086
1999-01-01,4380.185
1999-04-01,4378.872
1999-07-01,4356.927
1999-10-01,4365.00
2000-01-01,4314.73
2000-04-01,4214.69
2000-07-01,4143.885
2000-10-01,4090.025
2001-01-01,4122.911
2001-04-01,4030.30
2001-07-01,4096.886
2001-10-01,4145.237
2002-01-01,4156.46
2002-04-01,4260.36
2002-07-01,4357.679
2002-10-01,4427.328
2003-01-01,4473.103
2003-04-01,4638.594
2003-07-01,4752.624
2003-10-01,4848.035
2004-01-01,4912.016
2004-04-01,5081.33
2004-07-01,5173.475
2004-10-01,5250.883
2005-01-01,5352.908
2005-04-01,5446.929
2005-07-01,5502.074
2005-10-01,5584.775
2006-01-01,5690.834
2006-04-01,5769.608
2006-07-01,5773.59
2006-10-01,5803.923
2007-01-01,5925.487
2007-04-01,5939.237
2007-07-01,5994.294
2007-10-01,6074.315
2008-01-01,6243.059
2008-04-01,6327.804
2008-07-01,6821.396
2008-10-01,7376.817
2009-01-01,7787.502
2009-04-01,8252.399
2009-07-01,8638.185
2009-10-01,8882.645
2010-01-01,9304.908
2010-04-01,9786.37
2010-07-01,10196.556
2010-10-01,10528.562
2011-01-01,10732.367
2011-04-01,10997.251
2011-07-01,11401.984
2011-10-01,11667.25
2012-01-01,12010.38
2012-04-01,12395.87
2012-07-01,12664.582
2012-10-01,12847.828
2013-01-01,13170.614
2013-04-01,13287.916
2013-07-01,13456.026
2013-10-01,13705.127
2014-01-01,13956.248
2014-04-01,14138.611
2014-07-01,14371.499
2014-10-01,14441.054
2015-01-01,14554.249
2015-04-01,14776.851
2015-07-01,14852.311
2015-10-01,15165.626
2016-01-01,15475.769
2016-04-01,15713.385
2016-07-01,15933.938
2016-10-01,16008.291
2017-01-01,16112.321
2017-04-01,16288.699
2017-07-01,16533.126
2017-10-01,16606.939
2018-01-01,17200.144
2018-04-01,17443.687
2018-07-01,17703.067
2018-10-01,17865.026
2019-01-01,18302.704
2019-04-01,18398.081
2019-07-01,18877.726
